root	Akkadian:	Amharic:	Amorite:	Arabic:	Aramaic:	Argobba:	Biblical Aramaic:	Canaanite:	East Ethiopic:	Eblaitic:	Epigraphic South Arabian:	Gafat:	Geʕez (Ethiopian):	Gurage:	Harari:	Harsusi:	Hebrew:	Jibbali:	Judaic Aramaic:	Mandaic Aramaic:	Mehri:	Modern Arabic:	Modern Aramaic:	Phoenician:	Soqotri:	Syrian Aramaic:	Tigrai (Tigriñña):	Tigre:	Ugaritic:
ʕḳr	-	-	-	ʕḳr	-	-	-	-	-	-	-	-	ʕarḳa	-	-	-	ʕāḳār	-	ʕăḳar	aḳra	-	-	-	-	-	ʕaḳrā	-	-	-
ʕlg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕillēg	-	-	-	-	-	-	-	-	-	-	täʕalaǯäǯä	ʕlg
ʕmy	-	-	-	ʕmy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔitʕammī	ʕammätä	ʕamā	-
ʕwr	-	awwärä	-	ʕwr	-	-	-	-	-	-	-	-	ʕora	-	-	ʔáwer	ʕiwwēr	ʕēr	ʕăwīr	ʕuira	ʔáywer	-	-	-	ʕér	ʕǝwārā	ʕawärä	ʕorä	ʕwr
bhm	-	-	-	ʔabham	-	-	-	-	-	-	-	-	bǝhma	-	-	-	-	-	-	-	-	-	-	-	-	-	bähamä	bähamä	-
bṣḳ	-	tän	-	bṣḳ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bǝrč̣ǝḳč̣ǝḳ	bärč̣äḳä	-
dbš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dabbäšät	-	-	-	-	-	-	-	-	-	-	däbbisotat	-
dny	-	-	-	dny	-	-	-	-	-	-	-	-	-	-	-	denō	-	díní	-	-	dáyni	-	-	-	dínih	-	-	-	-
dnḳ	-	-	-	dāniḳ	-	-	-	-	-	-	-	-	danḳawa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dwm	dâmu	-	-	duwām	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
d_bb	zabābu	-	-	d_ibb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gʷʕt_̣	-	gʷaggʷäṭä	-	ǧaʕad_̣	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gǝʕaṭ	-	-	-
gbh_	gubbuh_u	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gibbēăḥ	-	-	-	-	-	-	-	-	gǝbāḥā	-	-	-
gʷŝʕ	gešû	gässa	-	ǧšʔ	-	-	-	-	-	-	-	-	gʷaŝʕa	-	-	geŝō	gʕš	s̃ǝgéŝi	-	-	gǝŝō	-	-	-	gšʕ	gǝsā	gʷäsʕe	gäsʕa	-
hll	ulālu	-	-	-	-	-	-	-	-	-	-	-	hawlaya	-	-	-	hll	-	-	-	-	-	-	-	hálhal	hll	hallay	haläwläw	-
ḥly	-	-	-	ḥll	-	-	-	-	-	-	-	-	-	-	-	-	ḥālā	ḥɛ́l	-	-	ḥǝyūl	-	-	-	ḥáyil	-	-	ḥǝlla	-
ḥlm	-	allämä	-	ḥlm	-	-	-	-	-	-	-	-	ḥalama	-	-	ḥáylem	ḥlm	ḥélm	ḥălam	-	ḥáylǝm	-	-	-	ḥlm	ḥlam	ḥalämä	ḥalmä	ḥlm
h_yl	h_âlu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥyl	mah_tél	-	-	-	-	-	-	-	-	-	-	h_l
ḫrm	-	-	-	h_rm	-	-	-	-	-	-	-	-	-	-	-	-	ḥārūm	h_armét	ḥărīm	-	h_ǝrmīt	-	-	-	-	-	-	-	-
h_rš	h_arāšu	aras	-	h_arūs	-	-	-	-	-	-	-	aras	h_aras	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥaräsä	ḥaras	-
h_rš	-	-	-	h_rs	-	-	-	-	-	-	-	-	-	-	-	-	ḥrš	-	ḥrš	-	-	-	-	-	-	ḥreš	-	-	-
ḥbṭ	ebēṭu	abbäṭä	-	ḥbṭ	-	-	-	-	-	-	-	-	ḥabaṭa	-	-	ḥáybeṭ	-	ḥēṭ	-	-	ḥáybǝṭ	-	-	-	-	-	ḥabäṭä	ḥabṭä	-
ḥks	-	anäkkäsä	-	-	-	-	-	-	-	-	-	-	ḥankasa	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥankäsä	ḥankäšä	-
ḥyṣ̂	-	-	-	ḥyḍ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥyḍ	-	-	-	-
kʔb	-	-	-	kʔb	-	-	-	-	-	-	-	-	-	-	-	-	kʔb	-	kǝʔēb	-	-	-	-	-	-	keʔb	-	-	-
ḳdḥ	ḳidh_u	ḳädda	-	ḳdḥ	-	-	-	-	-	-	-	-	ḳadḥa	-	-	-	ḳaddaḥat	-	ḳidḥā	-	-	-	-	-	-	ḳǝdiḥtā	-	-	-
ḳry	-	-	-	ḳrʔ	-	-	-	-	-	-	-	-	-	-	-	-	ḳǝrē	-	ḳaryā	ḳiria	-	-	-	-	-	ḳeryat	-	-	-
ḳʷrḥ	-	-	-	ḳurḥat	-	-	-	-	-	-	-	-	-	-	-	-	ḳrḥ	-	ḳǝraḥ	-	-	-	-	-	-	ḳǝraḥ	ḳʷärḥe	ḳärḥit	-
ḳurd	ḳurrudu	-	-	ḳurd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳʷyʔ	kâʔu	ḳʷǝḳḳ	-	ḳyʔ	-	-	-	-	-	-	-	-	ḳeʔa	-	-	ḳéwya	ḳyʔ	ḳéʔ	-	-	ḳáwya	-	-	-	ḳéʔ	-	-	ḳäʔa	-
mh_ṣ̂	-	mǝṭ	-	mh_ḍ	-	-	-	-	-	-	-	-	mah_aḍa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mäḥaṣä	-
mny	menû	tämäññä	-	mny	-	-	-	-	-	-	-	-	tamannaya	-	-	emtōni	-	mútni	-	-	mátni	-	-	-	-	-	tämännäyä	tǝmänna	-
mrṣ̂	marāṣu	-	-	mrḍ	-	-	-	-	-	-	-	-	-	-	-	mēreź	mrṣ	mírź_	mǝraʕ	-	merēź	-	-	-	hemrôḍ	mǝraʕ	-	-	mrṣ
hnd	-	-	-	hnd	-	-	-	-	-	-	-	-	-	-	-	hēned	-	ohúnd	-	-	hōnǝd	-	-	-	hénod	-	-	hǝnǝd	-
nhḳ	nâḳu	-	-	nhḳ	-	-	-	-	-	-	-	-	nǝhḳa	-	-	nehāḳ	nhḳ	nɛhɛ́ḳ	nhḳ	nihiḳa	nǝhēḳ	-	-	-	-	-	-	-	nhḳt
npš	-	-	-	nfs	-	-	-	-	-	-	-	-	-	-	-	-	-	ǝnfés	-	-	ǝntǝfūs	-	-	-	nífes	-	-	-	-
npṭ	-	tänaffäṭä	-	nfṭ	-	-	-	-	-	-	-	-	nafaṭa	-	-	entefōṭ	-	ʔenféṭ	-	-	nǝfūṭ	-	-	-	néfoṭ	-	näffäṭä	näffäṭä	-
nšb	našābu	-	-	nsb	-	-	-	-	-	-	-	-	-	-	-	-	nšb	-	nǝšab	-	-	-	-	-	-	nǝšab	-	näsbä	-
ph_	-	-	-	fḥḥ	-	-	-	-	-	-	-	-	-	-	-	-	pwḥ	-	pwḥ	-	-	-	-	-	-	pāḥ	-	fǝḥot	-
psḥ	pessû	-	-	fsh_	-	-	-	-	-	-	-	-	-	-	-	-	psḥ	-	-	-	-	-	-	-	-	-	-	-	-
pšw	pašû	fässa	-	fsw	-	-	-	-	-	-	-	-	fasawa	-	-	-	-	-	-	-	-	-	-	-	-	-	fäsäwä	fäša	-
rɣb	-	rabä	-	rɣb	-	-	-	-	-	-	-	-	rǝh_ba	-	-	-	rāʕēb	-	-	-	-	-	-	-	-	-	-	räḥab	rɣb
rkb	rakābu	-	-	-	-	-	-	-	-	-	-	-	tarākaba	-	-	-	-	rékǝb	-	-	rǝkēb	-	-	-	-	rǝkeb	-	tǝräkkäbä	-
š	saʔālu	salä	-	sʕl	-	-	-	-	-	-	-	-	saʕala	-	-	-	-	-	-	-	-	-	-	-	-	šǝʕal	säʕalä	säʕalä	-
ṣmm	-	č̣ǝmm	-	ṣmm	-	-	-	-	-	-	-	-	ṣamma	-	-	-	-	-	-	-	-	-	-	-	-	ṣammā	ṣämämä	ṣämmä	-
ŝbʕ	šebû	-	-	šbʕ	-	-	-	-	-	-	-	-	-	-	-	ŝōba	ŝābaʕ	ŝēʕ	sǝbaʕ	-	ŝība	-	-	-	ŝíbaḥ	sǝbaʕ	-	-	šbʕ
ŝxgʕ	šegû	-	-	šǧʕ	-	-	-	-	-	-	-	-	-	-	-	-	šgʕ	-	šgʕ	-	-	-	-	-	-	-	-	-	-
ŝhḳ	-	-	-	šhḳ	-	-	-	-	-	-	-	-	-	-	-	šeháwḳ	šhḳ	s̃éhǝḳ	-	-	šwēheḳ	-	-	-	-	-	-	-	-
ŝrm	-	-	-	ʔašram	-	-	-	-	-	-	-	-	-	-	-	meŝrīm	-	s̃érǝm	-	-	šǝrēm	-	-	-	-	sǝrāmā	-	šǝrum	-
ŝyb	šībtu	šǝbät	-	šyb	-	-	-	-	-	-	-	-	ŝeba	-	-	ŝayb	ŝyb	eŝŝéb	sǝʔēb	-	ŝyīb	-	-	-	ŝíbab	sābā	säyyäbä	šäyäbä	šb
ṣ̂ḥk	-	saḳä	-	ḍḥk	-	-	-	-	-	-	-	ṣaḳä	ŝaḥaḳa	-	-	ẑǝḥāk	ŝḥḳ	ẑaḥák	ṣǝḥaḳ	-	ẑǝḥāk	-	-	-	ḍáḥak	gǝḥēk	säḥaḳä	säḥaḳä	ẓḥḳ
ṣ̂rṭ	ṣarātu	-	-	ḍrṭ	-	-	-	-	-	-	-	-	-	-	-	ẑerōṭ	-	ẑérɔ́ṭ	-	-	ẑǝrūṭ	-	-	-	ẑerót	ʕareṭ	-	-	-
twb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tūbā	-	-	-	-	-	tébib	twb	-	-	-
tpp	-	täffa	-	tff	-	ntf	-	-	-	-	-	-	tafʔa	-	-	-	tōpät	-	tǝpap	-	-	-	-	-	-	-	täfʔe	täfʔa	-
ṭmm	ṭummum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔṭm	-	-	-	-	-	-	-	-	ʔaṭṭīmā	ṭämmämä	-	-
t_kl	-	-	-	t_kl	-	-	-	-	-	-	-	-	-	-	-	-	škl	-	tǝkēl	-	-	-	-	-	-	tǝkālā	-	-	t_kl
t_yn	šânu	šännä	-	mat_ānat	-	-	-	-	-	-	-	-	ŝena	-	-	-	hištīn	-	ʔaštēn	-	-	-	-	-	-	tān	šänä	šena	t_n
t_̣lʕ	-	-	-	d_̣lʕ	-	-	-	-	-	-	-	-	-	-	-	d_̣áwla	ṣlʕ	d_̣élaʕ	ṭlʕ	-	d_̣áwla	-	-	-	-	-	-	-	-
t_̣mʔ	ṣamû	ṭämma	-	d_̣mʔ	-	-	-	-	-	-	-	ṣämmä	ṣamʔa	-	-	d_̣áyma	ṣāmēʔ	d_̣ĩ	-	-	d_̣áyma	-	-	-	ṭéme	-	ṣämʔe	ṣämʔa	ẓmʔa
wld	walādu	wällädä	-	wld	-	-	-	-	-	-	-	-	walada	-	-	-	yālad	élɔ́d	yǝlēd	-	welēd	-	-	-	-	ʔīlēd	wällädä	wäldä	yld
wrḳ	-	mǝraḳ	-	rīḳ	-	-	-	-	-	-	-	-	wrḳ	-	-	-	yrḳ	-	yrḳ	-	-	-	-	-	-	-	mǝrraḳ	mǝrraḳ	-
zmm	-	zämma	-	-	-	-	-	-	-	-	-	-	zammawa	-	-	-	zimmā	-	-	-	-	-	-	-	-	-	zämmäwä	-	dm
z	-	zänna	-	zny	-	-	-	-	-	-	-	-	zanaya	-	-	zenō	zānā	zíni	zǝnē	-	zǝnū	-	-	-	-	zny	-	zäna	dnt
ʔalp	alpu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔäläp	-	-	-	-	-	-	ʔlp	ʔalf	-	-	-	ʔalp
ʔanz	azaru	-	-	-	-	-	-	-	-	-	-	-	ʔanzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔanapat	anpatu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔănāpā	-	-	-	-	-	-	-	-	ʔanpā	-	-	-
ʔanVḳ	-	anč̣ǝt	-	ʔanūḳ	-	-	-	-	-	-	-	-	ʔanḳe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔanyaṣ	ayāṣu	ayǝṭ	-	-	-	-	-	-	-	-	-	-	ʔanṣawā	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔanč̣ǝwa	ʕanṣay	-
ʔapʕaw	-	ǝffuññǝt	-	ʔafʕan	-	-	-	-	-	ìbaùum	-	-	ʔafʕot	-	ḥiffiñ	-	ʔäpʕǟ	-	-	-	-	-	-	-	-	-	ʔafʕut	ʔafʕot	ʔapʕ
ʔarbay	erbu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	harbēt	ʔarbǟ	ʔírbɔ́t	-	-	ḥarbyēt	-	-	-	ʔerbhíyoh	-	-	-	ʔirby
ʔarnabat	arnabu	-	-	ʔarnab	-	-	-	-	-	-	-	-	ʔarnab	-	ḥarbāñño	ḥeynēb	ʔarnäbät	ʔɛrní	ʔarnabtā	arnab	ḥarnáyb	-	-	-	-	ʔarnǝbā	-	-	-
ʔarway	-	awre	-	-	-	-	ʔaryē	-	-	-	-	-	ʔarwe	-	ūri	-	ʔaryē	-	ʔărī	aria	-	-	-	ʔrw	-	ʔaryā	ʔarä	-	ʔarw
ʔatān	atānu	-	-	ʔitān	-	-	-	-	-	-	-	-	-	-	-	-	ʔātōn	-	ʔătānā	atana	-	-	-	-	-	ʔattānā	-	-	ʔatnt
ʔat_hal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	talia	-	-	-	-	-	ʔātalyā	ʔasälät	ʔashalät	-
ʔawaz	-	-	-	ʔiwazz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔawzā	auaza	-	-	-	-	-	wazzā	-	-	ʔuz
ʔayyal	ayalu	-	-	ʔiyyal	-	-	-	-	-	-	-	-	-	-	-	-	ʔayyāl	ayyól	ʔayyālā	aiala	-	-	-	ʔyl	-	ʔaylā	-	-	ʔayl
ʔayy	-	-	-	yuʔyuʔ	-	-	-	-	-	aatum	-	-	-	-	-	-	ʔayyā	-	-	-	-	-	-	-	-	-	-	-	-
ʔibilat	-	-	-	ʔibl	-	-	-	-	-	-	-	-	-	-	-	ḥǝybīt	-	yǝt	-	-	ḥǝybīt	-	-	-	-	-	-	-	-
ʔVnar	mīrānu	anär	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔinr
ʕabVw	abūtu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕāba	-	-	-	-
ʕakbar	akbaru	-	-	ʕakābir	-	-	-	-	-	-	-	-	-	-	-	-	ʕakbār	-	ʕakbār	-	-	-	-	-	-	-	-	-	-
ʕaḳrab	-	-	-	ʕaḳrab	-	-	-	-	-	-	-	-	ʕ	-	-	-	ʕaḳrāb	ʕaḳréb	ʕaḳrabbā	arḳba	-	-	-	-	-	ʕeḳḳarbā	ʕǝnḳǝrbit	ʕarḳäb	ʕḳrb
ʕalaḳat	ilḳu	alḳǝt	-	ʕalaḳat	-	-	-	-	-	-	-	-	ʕalaḳt	-	ēḳti	-	ʕălūḳā	ʕoḳót	ʕălūḳā	-	ʔāwḳáyt	-	-	-	-	ʕelaḳtā	ʕaläḳti	ʕaläḳ	-
ʕankabīt_	-	-	-	ʕankab	-	-	-	-	-	-	-	-	-	-	-	ʔanšēt	ʕakkābīš	ʕǝns̃yɛ́t	ʕakkōbītā	-	ʔānšɛ̄t	-	-	-	-	-	-	-	-
ʕarād	-	-	-	ʕard	-	-	ʕărādayyā	-	-	-	-	-	-	-	-	-	ʕārōd	-	ʕărōd	arada	-	-	-	-	-	ʕǝrādā	-	-	-
ʕarw	erû	-	-	ʔaʕwar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕar	-	-	-	-	-	-	-	-	-	-
ʕattūd	atūdu	-	-	ʕatūd	-	-	-	-	-	-	-	-	-	-	-	-	ʕattūd	-	-	-	-	-	-	-	-	-	-	-	-
ʕawp	-	wäf	-	ʕawf	-	-	ʕōp	-	-	-	-	-	ʕof	-	ūf	-	ʕōp	-	ʕōp	-	-	-	-	ʕpt	-	ʕawpā	ʕuf	ʕof	ʕp
ʕurīt_̣	urīṣu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔārīḍ_	-	-	-	-	ʕarīḍ_	-	-	-	-	-	-	-	-
ʕVgVr	igirû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕāgūr	-	-	-	-	-	-	-	-	-	-	-	-
ʕVrṣ̂	-	-	-	ʕirḍ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕarṣat	-
ʕVrVb	urbatu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕārōb	-	ʕrbrwb	-	-	-	-	-	-	ʕarrūbā	-	-	-
ʕVrw	-	-	ʕurwat	-	-	-	-	ʔáyri	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕéri	-	-	-	-	waʕro
ʕVsVb	usābu	-	-	yaʕsūb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVt_̣āy	iṣṣû	-	-	ʕiḍ_āyat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVt_Vt_	ašāšu	-	-	ʕut_t_at	-	-	-	-	-	-	-	-	-	-	-	-	ʕāš	-	ʕāšā	-	-	-	-	-	-	ʕaššā	-	-	-
ʕVwVl	-	-	-	-	-	-	-	-	-	-	-	-	ʕǝwāl	-	-	-	-	-	ʕīl	-	-	-	-	-	-	ʕīlā	ʕillu	ʕǝlu	ʕl
ʕVz	-	-	-	ʕazīzat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕuzzā	-	-	-	-	-	-	-	-	-	-
baḳḳ	baḳḳu	-	-	baḳḳ	-	-	-	-	-	-	-	-	-	-	-	beḳḳét	-	-	baḳḳā	-	-	-	-	-	-	bāḳā	-	-	-
bat_an	-	-	-	bat_an	-	-	-	-	-	bašanuum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bt_n
bilbill	-	bilbilla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bukay	bukānu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bur	bŭ̄rtu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVkVrat	bakru	-	-	bakr	-	-	-	-	-	-	-	-	-	-	-	bōker	bēkär	békǝr	-	-	bōkǝr	-	-	-	mibkéroh	bǝkūrē	-	bäkrät	-
bVr	-	baret	-	-	-	-	-	-	-	-	-	-	-	-	-	-	barbūr	-	-	-	-	-	-	-	-	-	bareto	-	-
daʔyat	-	-	-	daʔyat	-	-	-	-	-	-	-	-	-	-	-	-	dāʔā	-	dayyǝtā	dita	-	-	-	-	-	daytā	-	-	dʔiy
dubb	dabû	dǝbb	-	dubb	-	-	dōb	-	-	dabùum	-	-	dǝbb	-	-	-	dōb	-	dōb	-	-	-	-	-	-	debbā	dǝbbi	dǝbb	db
dVbVr	-	dibʷara	-	dabr	-	-	-	-	-	-	-	-	-	-	-	-	dǝbōrā	-	dǝbōrǝyā	-	-	-	-	-	-	debbōrā	-	-	-
dVgan	-	dägʷäbe	-	dayaǯān	-	-	-	-	-	-	-	-	dagobǝyā	-	-	degdīg	-	dǝgdég	-	-	dǝgdīg	-	-	-	-	-	duga	dängäbät	-
dVmm	dumāmu	dǝmmät	-	dimmat	-	-	-	-	-	-	-	-	dǝmmat	-	-	-	-	-	-	-	-	-	-	-	-	-	dǝmmu	dǝmmu	-
dVrr	-	-	-	durrat	-	-	-	-	-	-	-	-	-	-	-	-	dǝrōr	-	-	-	-	-	-	-	-	-	-	-	-
d_iʔb	zību	ǯǝb	-	d_iʔb	-	-	-	-	-	-	-	-	zǝʔb	-	-	-	zǝʔēb	d_ib	dēbā	diba	-	-	-	-	díb	dēbā	zǝbʔi	zǝbʔi	-
d_VbVb	zumbu	zǝmb	-	-	-	zǝmb	-	-	-	zababùum	-	zǝmbä	zǝnb	all	zǝmbi	d_ebbēt	-	d_ǝbbɔ́t	-	-	d_ǝbbēt	-	-	-	ʔedbíboh	-	zǝnbi	-	-
d_Vr	-	-	-	d_arr	-	-	-	-	-	-	-	-	-	-	-	d_arr	-	d_ɛrd_ér	dūrā	-	d_ǝrd_ēr	-	-	-	-	-	-	-	-
garad	-	-	-	ǯarād	-	-	-	-	-	-	-	-	-	-	-	-	-	gérɔ́d	-	-	-	-	-	-	-	-	gärädo	-	-
gawzal	-	-	-	ǯawzal	-	-	-	-	-	-	-	-	-	-	-	-	gōzāl	-	gōzālā	-	-	-	-	-	-	zūgallā	-	-	-
gūg	-	-	-	-	-	-	-	-	-	-	-	-	gugā	-	-	-	-	-	-	-	-	-	-	-	-	gǝwāgay	-	-	-
gVb	gibu	-	-	ǯābiʔ	-	-	-	-	-	gibaum	-	-	-	-	-	-	gōbay	-	gōbā	-	-	-	-	-	-	-	gʷäbib	-	-
gʷandan	-	gʷande	-	ǯudǯud	-	-	-	-	-	-	-	-	gundan	-	-	gederēt	-	ǝz̃̃dírǝ́t	-	-	gǝdǝrēt	-	-	-	-	-	godäbo	gǝdgǝd	-
gVmgVm	gamgammu	-	-	-	-	-	-	-	-	-	-	-	gumgumā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gumguma	-
gVrat	gurratu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gahret	gärwa	-
gVrS	-	-	-	ǯārisat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gargāsā	-	gärsay	-
gVrVd_	-	-	-	ǯurad_	-	-	-	-	-	-	-	-	-	-	-	gerd_īn	-	-	-	-	gǝrd_īn	-	-	-	-	gǝrādā	-	-	-
ḫVnzīr	ḫuzīru	-	-	ḫinzīr	-	-	-	-	-	-	-	-	ḫanzir	-	-	-	ḥăzīr	ḫanzír	ḥăzīr	hizura	ḫǝnzīr	-	-	-	-	ḥzīrā	-	-	ḫuzirù
ḥVmVṭ	ḫulmittu	-	-	ḥamaṭīṭ	-	-	-	-	-	-	-	-	-	-	-	-	ḥōmäṭ	-	ḥumṭā	-	-	-	-	-	-	-	-	-	-
ḥVrdān	-	arǯano	-	ḥird_awn	-	-	-	-	-	ḫudaum	-	-	-	-	arǯūni	-	-	-	ḥardōnā	-	-	-	-	-	-	ḥardānā	-	-	-
kalb	kalbu	kälb	-	kalb	-	-	-	-	-	-	-	-	kalb	-	-	kawb	käläb	kɔb	kǝlēb	kalba	kawb	-	-	klb	kalb	kǝleb	kälbi	kälǝb	klb
kVsVs	kasūsu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kōs	-	kōsā	-	-	-	-	-	-	-	-	-	-
ḳVrVll	-	-	-	ḳirillā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḳurlā	-	-	-
lVʔ	littu	-	-	lāʔan	-	-	-	-	-	líanúm	-	-	-	-	-	lǝhētǝh	-	léʔ	-	-	lǝháytǝn	-	-	-	ʔélheh	-	-	-	-
lVʔlVʔ	lalû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	lúloh	-	-	-	llʔu
mVʕVz	-	-	-	maʕz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mēʕazzē	-	-	-	-	-	-	-	-	-	-
mVndīn	mindinu	-	-	ʔalmadīn	-	-	-	-	-	mudanenúm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mVnVn	mūnu	-	-	minanat	-	-	-	-	-	-	-	-	tomni	-	-	-	-	-	-	-	-	-	-	-	-	mǝnīnā	-	-	-
nūbat	nūbtu	nǝb	-	nūb	-	nǝb	-	-	-	-	-	nǝbʷä	nǝhb	-	-	-	-	nibbɔ́t	-	-	-	-	-	-	-	-	nǝhbi	nǝhǝb	-
nVbb	nābu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nibbā	-	-	-	-	-	nibb	nābā	-	-	-
nVṣVr	-	ǝnč̣ǝrar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nāṣorā	ʕǝnč̣ǝrar	ʔǝnṣǝrar	-
paraʔ	parû	-	-	faraʔ	-	-	-	-	-	-	-	-	-	-	-	-	päräʔ	-	-	-	-	-	-	-	-	-	-	-	-
saḳāt	saḳātu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	šäḳʷat	-	-
sVḥ	saḫṭu	-	-	-	-	-	-	-	-	-	-	-	sǝhiṭ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sVmVmat	summu	-	-	samāmat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣ̂VyVw	-	-	-	ḍaywan	-	-	-	-	-	-	-	-	-	-	-	-	ṣī	-	-	-	-	-	-	-	-	-	-	-	-
šalaḥpaw	šeleppû	-	-	sulaḥfā	-	-	-	-	-	šalabùum	-	-	-	-	-	-	-	-	-	-	salefḥōt	-	-	-	-	-	-	-	-
šVlVk	-	-	-	silkānat	-	-	-	-	-	-	-	-	-	-	-	-	šālāk	-	-	-	-	-	-	-	-	-	-	-	-
šVnnār	šurānu	-	-	sunnār	-	-	-	-	-	-	-	-	-	-	-	sennōreh	-	sínórt	šunnārā	šunara	sǝnnáwrǝt	-	-	-	-	šūrǝnā	-	-	-
tVrr	tarru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tōr	-	-	-	-	-	-	-	-	tar	-	-	tr
t_̣abyat	ṣabītu	-	-	d_̣aby	-	-	-	-	-	zabaatum	-	-	-	-	-	-	ṣǝbī	-	ṭabyā	ṭabia	-	-	-	-	-	ṭabyā	-	-	t_̣by
ṭaɣ	-	-	-	ṭaɣɣ	-	-	-	-	-	-	-	-	ṭāʕǝwā	-	-	-	-	-	-	-	-	-	-	-	-	-	ṭāʕwā	-	-
ṭarVḳay	-	ṭǝḳur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṭǝrīḳayyā	-	-	-	-	-	-	-	ṭäḳäray	-	-
waran	urnu	-	-	waral	-	-	-	-	-	-	-	-	-	-	-	rewōl	-	-	-	-	rǝwōl	-	-	-	-	yarlā	-	-	-
wawat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	wāwǝtā	-	-	-	-	-	-	-	-	-	-
w	-	-	-	yaʕr	-	-	-	-	-	-	-	-	-	-	-	-	yaʕărā	-	-	-	-	-	-	-	-	-	-	warʕe	-
ɣVrnīḳ	urnīḳu	-	-	ɣirnīḳ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
