root	ags.	ahd.	ai.	air.	aisl.	aksl.	alb.	anord.	arm.	as.	av.	cymr.	gall.	got.	gr.	hitt.	lat.	lett.	lit.	mhd.	mir.	mnd.	norw.	russ.	slav.	umbr.	vgl.
ghelĝh	-	-	-	-	-	-	-	-	geɫjkh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	želza	-	-
ghelond	-	-	-	-	-	želǫdъkъ	-	-	-	-	-	-	-	-	χολάδες	-	-	-	-	-	-	-	-	-	-	-	-
ghelōu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	χέλῡς	-	-	-	-	-	-	-	-	-	želū	-	-
gheltō	-	gelt	-	-	-	žlědǫ	-	-	-	-	-	-	-	gilstr	-	-	-	-	-	-	-	-	-	-	-	-	-
ghelunā	-	-	-	-	giǫlnar	-	-	-	jeɫun	-	-	-	-	-	χελύ̄νη	-	-	-	-	-	-	-	-	-	-	-	-
ghen	-	-	-	-	-	-	-	gnaga	-	-	aiwiɣnixta	-	-	-	-	-	-	gńẽga	-	-	-	-	-	-	-	-	-
ghend	begietan	-	-	rogeinn	-	gadati	gjëndem	-	-	-	-	genni	-	bigitan	χανδάνω	-	praehendō	-	-	-	geind	gissen	-	-	-	-	-
ghendh	-	-	-	-	-	-	-	-	-	-	-	-	-	gund	κανθύλη	-	-	-	-	-	-	-	-	-	-	-	-
ĝhengh	gīht	-	jáṁhas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	žengiù	-	-	-	-	-	-	-	-
gher	grǣdan	-	ghargharaḥ	-	-	-	-	grātr	-	-	-	-	-	grētan	-	-	hirrīre	-	-	-	-	-	dial	-	-	-	-
gher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	κέγχρος	-	furfur	-	gurùs	-	-	-	-	goróchъ	-	-	-
gher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	grāt	-	-	dial	-	-	-	-
ĝher	-	ger	háryati	-	-	-	-	-	-	-	zara	dyar	-	faíhugaírns	χαίρω	-	horior	-	-	-	dogar	-	-	-	-	-	-
ĝher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	χαράδρᾱ	-	-	-	žeriù	-	-	-	-	-	-	-	-
ĝher	-	-	-	-	grár	zrakъ	-	-	-	-	-	-	-	-	-	-	grāvastellus	-	žeriù	-	-	-	-	-	-	-	-
ĝher	-	-	hárati	-	-	-	-	-	-	-	-	-	-	-	χόρτος	gurtas	hīr	-	-	-	-	-	-	-	-	-	oben
ĝher	-	-	híraḥ	-	garn	-	-	-	-	-	-	-	-	-	χορδή	-	haruspex	-	žarnà	-	-	-	-	-	-	-	-
ĝher	-	-	-	gair	-	-	-	-	-	-	-	-	-	-	χείρων	-	-	-	-	-	-	-	-	-	-	-	-
ghers	-	gerstī	-	-	gersta	-	-	-	garšim	-	grǝ̄hma	-	-	-	-	-	-	-	grasà	mnd	goirt	-	-	-	-	-	-
ghers	-	gers	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gìrsa	-	-	-	-	-	-	-	-
ĝhers	gorst	-	hárṣatē	garb	-	-	derr	-	jar	-	zaršayamna	-	-	-	χοι̃ρος	-	horreō	-	-	-	-	-	-	-	-	-	-
gherto	-	-	ghr̥tám	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gert	-	-	-	-	-	-
ĝherzdh	-	gersta	-	-	-	-	drith	-	-	-	-	-	-	-	κρι̃	-	hordeum	-	-	-	-	-	-	-	-	-	-
ĝhéslo	-	-	sahásram	-	-	-	-	-	-	-	-	-	-	-	μία	-	-	-	-	-	-	-	-	-	-	-	-
ĝhesor	-	-	-	-	-	-	-	-	jeṙn	-	-	-	-	-	χείρ	-	īr	-	-	-	-	-	-	-	-	-	-
ĝhesto	-	-	hástaḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	praestō	-	pažastė̃	-	-	-	-	-	-	-	-
ĝheu	-	-	juhṓti	-	gjósa	-	-	-	joyl	-	zaotar	-	-	giutan	χέω	-	fūtis	-	-	-	-	-	-	-	-	-	die
ĝheu	gíetan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	zùdu	žūvù	-	gūass	-	-	-	-	-	-
ĝhēu	gēap	-	-	-	gaupn	-	-	-	gavar	-	-	-	-	gawi	χάος	-	-	gāmurs	gaũsti	-	-	-	-	-	-	-	noch
gheubh	géap	-	-	-	-	pogubljǫ	-	-	-	-	-	-	-	-	-	-	-	gubstu	-	-	-	-	dial	-	-	-	-
gheuĝh	-	-	gū́hati	-	gȳgr	-	-	-	-	-	guz	-	-	-	-	-	-	-	gū̃žti	-	-	-	-	-	-	-	-
gheu̯ei̯ā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	χειά	-	-	-	-	-	-	-	-	-	-	-	-
ĝhlād	-	-	hrādatē	adglādur	-	-	-	-	-	-	-	-	-	-	κέχλαδα	-	-	-	-	-	-	-	-	-	-	-	-
ghleu	-	-	-	-	glȳ	-	-	-	-	-	-	-	-	-	χλεύη	-	-	-	-	-	-	-	-	-	-	-	-
ĝhō	-	-	-	-	-	zadъ	-	-	z	-	-	-	-	-	-	-	-	az	-	-	-	-	-	-	za	-	-
ghoilos	-	keilī	-	-	-	dzělo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gāel	geile	-	-	-	-	-
ghom	-	-	-	-	-	-	-	-	gom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghō̆s	-	-	ghas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghostis	-	-	-	-	-	-	-	-	-	-	-	-	-	gasts	-	-	hostis	-	-	-	-	-	-	-	-	-	-
ghou̯ē	-	-	-	-	gā	govějǫ	-	-	-	-	-	-	-	-	-	-	faveō	-	-	-	-	-	-	stammt	-	fons	-
ghouros	gyrn	-	ghōráḥ	-	gaurr	-	-	-	-	-	-	-	-	gaurs	-	-	-	-	-	-	-	-	-	-	-	-	-
ghous	-	-	ghṓṣati	-	-	-	-	-	-	-	gaoš	-	-	-	-	-	heus	-	-	-	-	-	-	-	-	-	-
ghrē	grǣd	gruoni	-	-	grōði	-	-	-	-	-	-	-	-	gras	-	-	herba	-	-	gruose	-	-	-	gránka	-	-	-
ghrebh	-	-	grabh	-	-	grabljǫ	-	grāpa	-	-	grab	-	-	-	-	-	-	grebju	grabùs	-	-	-	-	-	-	-	-
ghrebh	græf	grubilōn	-	-	grǫptr	grobъ	-	-	-	-	-	-	-	grōba	-	-	-	grebju	-	-	-	-	-	-	grьběti	-	-
ghredh	-	-	-	-	-	grędǫ	-	-	-	-	aiwigǝrǝδmahi	-	-	griþs	-	-	gradior	-	grìdiju	-	-	-	-	-	-	-	-
ghrēi	gristle	-	-	-	grīma	-	-	-	-	-	-	-	-	-	χρί̄ω	-	-	-	griejù	grisgram	-	grīmet	-	-	-	-	-
ghreib	-	anagriff	-	-	gripr	-	-	-	-	-	-	-	-	greipan	-	-	-	-	griebiù	-	-	-	-	-	-	-	-
ghrem	-	-	-	-	-	-	-	-	-	-	-	-	-	gramsta	-	-	-	-	grémžiu	-	-	-	-	-	-	-	-
ghrem	grimman	-	-	-	gramr	gromъ	-	-	-	-	gram	-	-	-	χρεμίζω	-	-	gremju	gramù	-	-	-	-	-	-	-	-
ghren	-	-	-	-	grunnr	-	-	-	-	-	-	-	-	-	χραίνω	-	-	-	-	-	-	-	-	-	-	-	-
ghrendh	-	-	-	-	grind	-	-	-	-	-	-	-	-	-	-	-	grunda	-	grindìs	-	-	-	-	-	grędь	-	-
ghrēu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gruō	gŕauju	griáuju	-	-	-	-	-	-	-	-
ghrēu	grot	-	-	-	grotti	-	-	-	-	-	-	-	grava	-	χραύω	-	gurdus	grûžu	-	-	-	grūs	isl	-	-	-	mit
ghroud	grēada	-	-	grūad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gʷā	-	-	vígāman	bās	-	-	ngā	-	kam	-	gātuš	-	-	-	βίβησι	-	-	gāju	gãtvė	-	-	-	-	-	-	-	gāmin
gʷā̆dh	-	-	gā́hatē	bāidim	-	-	-	-	-	-	-	diffoddi	-	-	βη̃σσα	-	-	-	-	-	-	-	-	-	-	-	-
gʷēbh	-	-	-	-	-	-	-	kafa	-	-	-	-	-	-	βάπτω	-	-	-	-	-	-	-	-	-	-	-	risk
gʷēbh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gēbā	-	-
gʷedh	-	-	gandh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gendù	quetsen	-	-	-	-	-	-	-
gʷei	cwīðan	-	-	-	-	-	-	-	-	-	-	-	-	qainōn	-	-	-	-	gíedu	-	-	-	-	-	-	-	-
gʷei	-	-	-	-	-	-	-	kvē	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bio	-
gʷēi	-	-	jīna	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bīan	-	-	-	-	-	-
gʷei̯ǝ	-	-	jināti	-	-	-	-	-	-	-	jijišaiti	-	-	-	βίᾱ	-	-	-	-	-	-	quisten	kveisa	-	-	-	-
gʷel	cwield	as	-	atbaill	-	-	-	kvǫl	-	qualm	-	-	-	-	-	-	vallessit	-	-	-	-	-	-	-	-	-	auch
gʷel	-	quellan	galana	atbaill	-	-	-	-	-	-	niɣrāire	-	-	-	βάλλω	-	-	-	-	-	-	-	-	-	-	-	-
gʷel	-	-	-	-	-	-	-	-	kaɫin	-	-	-	-	-	βάλανος	-	-	-	-	-	-	-	-	-	-	-	-
gʷelbh	-	-	ságarbhyaḥ	-	-	-	-	-	-	-	-	-	-	-	δελφύς	-	-	-	-	-	-	-	-	-	-	-	-
gʷē̆nā	-	-	dehnstuf	ben	-	žena	zonjë	-	kin	-	gǝnā	benyw	-	qineins	μνᾱ	-	-	-	-	-	-	-	-	-	-	-	-
gʷer	-	-	-	-	-	-	zorrë	-	ker	-	jaraiti	-	-	-	βάραθρον	-	-	-	-	-	-	-	-	-	-	-	-
gʷer	-	-	gurúḥ	-	-	-	-	-	-	-	gouru	-	-	kaúrjōs	βαρύς	-	gravis	grũts	gùrstu	-	bair	-	-	-	-	-	auch
gʷer	-	-	giríḥ	-	-	gora	gur	-	-	-	-	-	-	-	δειρός	-	-	garš	gìrė	-	-	-	-	-	-	-	-
gʷerǝ	-	queran	gūrtíḥ	-	-	-	gërshás	karp	-	-	-	-	-	-	-	-	-	-	giriù	-	-	-	-	-	-	-	-
ĝu̯er	-	-	jvárati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	zvêrs	žiūriù	-	-	-	-	-	-	-	-
gʷeru	-	-	-	biur	-	-	-	-	-	-	grava	-	-	qaíru	βρύω	-	uerū	-	-	-	-	-	-	-	-	berva	-
gʷes	-	quist	jásate	-	-	-	-	-	-	-	-	-	-	-	att	-	-	dziẽstu	gañdinu	-	-	-	-	-	-	-	-
gu̯es	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dän	-	-	-	-
gʷet	hwīt	-	játu	-	-	-	-	kvāða	-	-	-	-	-	-	-	-	bitūmen	-	-	-	-	-	-	-	-	-	-
gʷet	-	-	gadati	-	kviðr	-	-	kvǫþ	koč̣em	-	-	-	-	unqēþs	-	-	-	-	-	-	-	-	-	-	-	-	-
gu̯et	cwidele	-	-	bél	kviðr	-	-	-	-	-	-	-	-	qiþus	-	-	botulus	-	-	-	-	-	-	-	-	-	-
gʷii̯ā	-	-	jyā́	-	-	-	-	-	-	-	-	-	-	-	βιός	-	-	-	gijà	-	-	-	-	-	-	-	-
gʷistis	-	-	-	-	-	-	-	kvistr	-	-	-	bys	-	-	-	-	-	-	-	-	-	twist	-	-	-	-	-
gʷīu̯	-	-	-	bī	-	-	-	-	kiv	-	-	-	-	-	-	-	-	-	-	-	-	-	-	živíca	-	-	-
gʷl̥turos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βλοσυρός	-	voltur	-	-	-	-	-	-	-	-	-	-
gʷorgʷoro	-	-	-	-	-	-	-	-	kork	-	-	-	-	-	βόρβορος	-	-	-	-	-	-	-	-	-	-	-	-
gʷou	cū	chuo	vŕ̥ṣaṇ	bó	-	-	-	-	kov	-	-	-	-	-	πρέσβυς	-	bŭbulcus	gùovs	-	-	búasach	-	-	-	govędo	bum	-
gʷōu	-	-	gūthaḥ	-	-	-	-	-	ku	-	-	-	-	-	-	-	būbināre	-	-	-	-	-	-	-	govъno	-	-
gu̯ozdho	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gʷrebh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βρέφος	-	-	-	-	-	-	-	-	-	-	-	-
gʷreiĝ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βρίζω	-	-	-	-	-	-	-	-	grézitь	-	-	-
gʷrendh	-	-	-	-	-	grǫdь	-	-	-	-	-	-	-	-	βρένθος	-	grandis	-	-	-	-	-	-	-	-	-	-
gʷretso	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	grossus	-	-	-	-	-	-	-	-	-	-
gʷrēuĝh	-	-	-	-	-	gryzǫ	-	-	-	-	-	-	-	-	βρύ̄χω	-	-	-	gráužiu	-	-	-	-	-	-	-	-
gʷhðeiǝ	-	-	kṣiṇā́ti	-	-	-	-	-	-	-	aɣžōnvamnǝm	-	-	-	ep	-	-	-	-	-	-	-	-	-	-	-	-
gʷhðer	-	-	kṣárati	-	-	-	-	-	jur	-	ɣžaraiti	-	-	-	att	-	-	-	-	-	-	-	-	-	-	-	-
gʷhedh	-	-	-	guidiu	-	-	-	geð	-	-	jaiδyemi	gweddi	-	-	-	-	-	-	gedáuju	-	-	-	-	-	mit	-	-
gʷhēi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φαιδρός	-	-	-	gaĩsas	-	-	-	-	-	-	-	-
gʷheiǝ	-	-	-	-	-	žica	-	-	-	-	-	giau	-	-	-	-	-	-	gijà	-	-	-	-	-	-	-	-
gʷhel	-	-	-	-	-	želěti	-	gildra	-	-	-	-	-	-	θέλω	-	-	-	-	-	-	-	-	-	-	-	-
ĝhu̯el	-	-	hváratē	-	-	zъlъ	-	-	-	-	zbarǝmna	-	-	-	φαλίπτει	-	fallō	zvelu	nuožvelnùs	-	-	-	-	-	-	-	ĝhu̯er
ĝhu̯elg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θέλγω	-	-	-	žvelgiù	-	-	-	-	-	-	-	-
gʷhemb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἀθεμβου̃σα	-	-	-	-	gampf	-	-	dial	-	-	-	-
ĝhu̯en	-	-	-	-	-	-	tosk	-	jain	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gʷhen	-	-	āhaná	-	-	gonějetъ	-	-	yogn	-	-	-	-	-	ἄφενος	-	-	-	ganà	-	-	-	-	-	-	-	-
ĝhu̯ēr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θήρ	-	-	-	-	-	-	-	-	-	-	-	-
gʷher	gyrwefenn	-	háras	goirt	-	gorьjь	gatsë	gersta	jer	-	-	gori	-	warmjan	θέρος	-	formus	gars	gãras	-	grith	-	-	-	-	-	oben
ĝhu̯oigʷ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φοι̃βος	-	-	-	žvygulỹs	-	-	-	-	-	gvězda	-	-
ĝhu̯ōkʷ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	διαφάσσειν	-	fax	-	žvãkė	-	-	-	-	-	-	-	-
gʷhrē	-	-	jíghrāti	-	-	-	-	-	-	-	-	-	-	-	ὀσφραίνομαι	-	-	-	-	-	-	-	-	-	-	-	-
gʷhren	-	-	-	-	grunr	-	-	-	-	-	-	-	-	-	φρήν	-	-	-	-	-	-	-	-	-	-	-	-
ha	-	-	ha	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
īl	-	-	-	-	-	ilъ	-	-	-	-	-	-	-	-	ἰλύ̄ς	-	-	īls	-	-	-	-	-	-	-	-	-
īli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἴλια	-	-	-	-	-	-	-	-	-	-	-	-
i̯ā	-	-	ved	áilid	-	-	-	-	janam	-	yātu	-	-	-	ζη̃λος	-	-	-	-	-	-	-	-	-	i̯ōra	-	-
i̯ag	-	-	yajñáḥ	-	-	-	-	-	-	-	-	-	-	-	ἅζομαι	-	-	-	-	-	-	-	-	-	-	-	-
i̯agh	-	jagōn	prayakṣati	-	-	-	-	-	-	-	yazuš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i̯ā̆m	-	-	-	-	-	jama	-	-	-	-	-	-	-	-	ἄμη	-	-	-	-	-	-	-	-	-	-	-	-
i̯ē	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἰάπτω	ijami	iaciō	-	-	-	-	-	-	-	-	-	-
i̯eg	gicela	ihilla	-	-	-	-	-	-	-	-	-	-	-	-	-	ekunaš	-	-	-	-	aig	-	-	-	-	-	unter
i̯ēgʷā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἥβη	-	-	-	nuo	-	-	-	-	dial	-	-	-
i̯ek	-	jehan	yā́cati	-	-	-	-	-	-	-	-	-	-	-	-	-	iocus	-	juõkas	-	-	-	-	-	-	iuka	-
i̯ēk	-	-	-	hīcc	-	-	-	-	-	-	-	-	-	-	ἄκος	-	-	-	-	-	-	-	-	-	-	-	-
i̯ē̆kʷr̥t	-	-	yákr̥t	-	-	-	-	-	-	-	yākarǝ	-	-	-	-	-	jecur	-	-	-	-	-	-	-	-	-	-
iēlo	-	-	-	-	-	-	-	-	-	-	-	ial	ialo	-	-	-	-	jêls	-	-	-	-	-	-	jalъ	-	-
i̯em	-	-	yamáḥ	-	-	-	-	-	-	-	yam	-	-	-	-	-	geminus	-	-	-	emon	-	-	-	-	-	-
i̯énǝter	-	-	yā́tar	-	-	-	-	-	ner	-	-	-	-	-	ἐνάτηρ	-	-	-	-	-	-	-	-	-	-	-	-
i̯es	-	jesan	yásati	ess	-	-	-	-	-	-	-	-	-	-	ζέω	-	-	-	-	-	-	-	-	-	-	-	-
i̯et	-	-	yátati	ītu	-	-	-	-	-	-	-	addiad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i̯eu	-	-	yā́uti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i̯eu	géoc	-	yuyṓti	-	-	-	-	-	-	-	yav	-	-	-	-	-	-	jumis	-	-	-	-	-	-	-	-	-
i̯eu	-	-	yúvan	ōa	-	-	-	-	-	-	yvan	-	-	-	-	-	juvenis	-	jáunas	-	-	-	-	-	-	iouies	-
i̯eudh	-	-	udyōdhati	-	-	ojьminъ	-	-	-	-	yūiδyeinti	-	-	-	hom	-	jubeō	-	jaudà	-	-	-	-	-	-	-	-
i̯euĝ	-	-	-	-	-	-	-	-	yuzem	-	yaozaiti	-	-	jiuka	-	-	-	-	-	-	-	-	-	-	-	-	-
i̯euni	-	-	syoná	úain	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i̯eu̯o	-	-	yavya	-	-	-	-	-	-	-	yǝvīn	-	-	-	-	-	-	-	jãvas	-	-	-	-	-	-	-	-
i̯eu̯os	-	-	yōḥ	huisse	-	-	-	-	-	-	yaoždaδāiti	-	-	-	-	-	iūs	-	-	-	-	-	-	-	-	-	-
i̯oini	-	-	-	-	einir	-	-	-	-	-	-	-	-	-	-	-	iūniperus	-	-	-	-	-	-	-	-	-	-
i̯ork	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ζόρξ	-	-	-	-	-	-	-	-	-	-	-	-
i̯ōus	-	-	-	-	-	pojaśǫ	-	-	-	-	yā̊ŋhayeiti	-	-	-	ζώννvμι	-	-	-	júosiu	-	-	-	-	-	-	-	-
i̯u	-	-	-	-	-	-	-	-	nachwirkend	-	-	-	-	jūs	-	-	-	-	jū́s	-	-	-	-	-	-	-	-
i̯ū̆	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἰαυοι̃	-	jūbilō	-	ývas	jū	ilach	-	-	-	-	-	-
kā	-	-	kāmáyati	-	-	-	-	-	-	-	kā	-	-	-	-	-	-	-	kamaros	-	-	-	-	-	-	-	-
kā̆	-	-	kám	-	-	kъn	-	-	-	-	kąm	-	-	-	-	-	-	-	ki	-	-	-	-	-	-	-	-
kā̆d	-	-	kadana	-	-	-	-	-	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	-
kadh	heden	huot	-	-	hǫttr	-	-	-	-	-	-	-	-	-	-	-	cassis	-	-	-	cais	-	-	-	-	-	-
k̂ad	-	-	śad	casar	-	-	-	-	c̣acnum	-	-	-	-	-	-	-	cadō	-	-	-	-	-	-	-	-	-	-
k̂ad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	cāid	-	-	-	-	-	-
k̂ād	-	-	riśādas	-	-	-	-	-	-	-	sādra	cawdd	-	hatis	κη̃δος	-	-	-	-	-	caiss	-	-	-	-	-	-
kaĝo	hēcen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kagh	hagurūn	hag	-	-	hegna	-	-	-	-	-	-	cael	-	-	-	-	caulae	-	-	-	muince	-	-	-	-	cehefi	-
kaghlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	κάχληξ	-	-	-	-	-	-	-	-	-	-	-	-
kai	-	-	kḗvalaḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	caelebs	-	-	-	-	-	-	-	-	-	ett
kai	-	-	-	-	-	-	-	-	-	-	-	-	-	-	καὶ	-	ceu	-	kaĩ	-	-	-	-	-	-	-	-
kā̆i	-	hei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kaiko	-	-	kēkara	-	-	-	-	-	-	-	-	-	-	-	καικίας	-	caecus	-	kéikti	-	ethchaech	-	-	-	-	-	-
kaik̂	-	-	kéśa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kaĩšti	-	-	-	-	-	-	-	-
kailo	hālan	-	-	-	-	-	-	-	-	-	-	coel	-	hails	-	-	-	-	-	-	-	-	-	-	-	-	-
kais	-	-	kēsara	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kaito	hāð	-	-	-	-	-	-	-	-	-	-	-	-	haiþi	-	-	-	-	-	-	-	-	-	-	-	-	-
kaiu̯r̥t	-	-	kḗvaṭa	-	-	-	-	-	-	-	-	-	-	-	καίατα	-	-	-	dẽšimt	-	-	-	-	-	-	-	-
kakka	-	-	-	-	-	-	-	-	kakor	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nhd
kāk	-	-	kāka	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kākis	-	-	-	-	-	-	-	-	-
k̂ak	-	-	-	-	-	-	-	-	-	-	kasu	-	-	-	-	-	-	-	nukašė́ti	-	-	-	-	-	-	-	-
k̂ak	hagan	-	śaknṓti	cécht	-	-	-	-	-	-	sačaiti	-	-	-	-	-	-	-	kankù	-	-	-	-	-	-	-	śákvan
k̂āk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	κηκίω	-	-	-	šókti	-	-	-	-	-	-	-	καγκύλη
k̂ā̆k	-	-	śākhā	cēcht	-	sǫkъ	-	-	c̣ax	-	-	cainc	-	hōha	-	-	-	-	šakarnis	-	-	-	-	-	socha	-	-
kal	-	-	kaṭhina	mir	-	-	akul	-	-	-	-	-	-	-	-	-	callum	-	-	-	-	-	-	-	-	-	-
kal	-	-	kalyá	-	-	-	-	-	-	-	-	-	-	-	καλλο	-	-	-	-	-	-	-	-	-	-	-	-
kā̆l	-	-	kārā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kaliù	-	-	-	-	-	-	-	-
kalni	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	callis	-	-	-	-	-	-	-	-	-	-
kamer	-	-	kmárati	-	-	-	-	-	-	-	kamarā	-	-	-	κμέλεθρον	-	camurus	-	-	-	-	-	-	-	-	-	-
kamp	-	-	kapaṭa	-	-	-	-	-	-	-	-	-	-	hamfs	-	-	campus	-	kam̃pas	-	-	-	-	-	-	-	-
kan	-	-	-	canim	-	-	-	-	-	-	-	-	-	hana	κανάσσω	-	cicōnia	-	-	-	-	-	-	usw	-	-	zur
kand	-	-	candati	-	-	-	geg	-	-	-	-	cann	-	-	κάνδαρος	-	candeō	-	-	-	-	-	-	-	-	-	-
kantho	-	-	-	-	-	-	-	-	-	-	-	cant	succo	-	κανθός	-	cantus	-	-	-	-	-	-	-	kǫtъ	-	acymr
kap	-	haba	kapaṭī	-	-	-	kap	haukr	-	-	-	-	-	hafjan	κάψα	-	capys	kàmpju	kúopa	-	-	-	-	-	-	-	ir
kāp	-	-	-	-	-	-	-	-	-	-	-	-	-	-	κη̃πος	-	-	-	-	-	-	-	-	-	-	-	-
kā̆po	-	-	śā́pa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	šãpai	-	-	-	-	-	-	-	-
kapro	-	-	kápr̥th	-	-	-	-	hafr	-	-	-	-	cabros	-	κάπρος	-	caper	-	-	-	-	-	-	-	-	-	-
kaput	hafola	-	kapúcchala	-	-	-	-	hǫfuð	-	-	-	-	-	-	-	-	caput	-	-	-	-	-	-	-	-	-	-
kā̆pho	-	-	śaphá	-	hōfr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kar	gehornian	harawēn	-	caire	-	korъ	-	-	-	-	-	-	-	-	κάρνη	-	carinō	karināt	-	-	-	-	-	-	-	-	-
kar	-	hruom	carkarti	-	-	-	-	herma	-	-	-	-	-	hrōps	καρκαίρω	-	-	-	kar̃das	-	-	-	-	-	-	-	-
kar	-	-	krátu	caur	-	rakъ	-	-	-	-	-	ceri	-	-	κάρυον	-	carīna	-	-	-	-	-	usw	-	-	-	-
kār	-	-	-	-	-	-	-	-	-	-	-	-	-	-	κηρός	-	-	-	korỹs	-	-	-	-	-	-	-	-
kars	-	-	kaṣati	-	-	-	-	-	-	-	-	-	-	-	-	-	carrō	-	karšiù	-	-	harst	-	-	-	-	-
k̂as	-	haso	-	-	-	-	-	hǫss	-	-	-	ceinach	-	-	-	-	cānus	-	-	-	-	-	-	-	-	-	-
k̂ās	-	-	śāstár	-	-	-	-	-	sast	-	sāsti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kat	heaðor	-	-	-	hadda	-	-	-	-	-	-	-	-	-	-	-	catēna	-	-	-	-	-	-	-	-	-	-
kat	-	-	-	-	haðna	-	-	-	-	-	-	-	-	-	-	-	catulus	-	-	-	-	-	-	-	kotiti	-	-
k̂at	-	-	śātáyati	-	hoð	-	-	-	-	-	-	cadarn	catu	-	σατίνη	-	-	-	-	hader	-	-	-	-	k	-	-
kau	-	-	-	-	-	-	-	hāð	-	-	-	-	-	hauns	καυνός	-	-	kàuns	kūviúos	-	-	-	-	-	-	-	-
kāu	-	houwan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mit	nuòkaût	kúgis	-	-	-	-	-	-	-	-
kā̆u	-	hūwo	kū́jati	-	-	kujajǫ	-	-	kuk	-	-	-	-	-	κωκύ̄ω	-	cucubiō	-	kóvas	-	-	-	hauke	kúkatь	-	-	-
kā̆uǝlā	-	-	-	-	-	-	-	haull	-	-	-	-	-	-	ion	-	-	-	dial	-	-	-	-	kilá	-	-	-
